reviewId,User Name,Rating,Date,Review Text,Bank/App Name,Source,Sentiment,Sentiment_Score,Processed_Reviews_Tokens,Extracted_Keywords,Identified_Theme
d0c05687-ddd4-43fb-95a9-08f6358d80a2,A Google user,5,2025-06-07,really am happy to this app it is Siple to use everything,CBE,Google Play,Positive,0.9988697171211243,"['really', 'happy', 'app', 'siple', 'use', 'everything']","['happy app', 'everything', 'happy', 'really', 'use']",Other/General Feedback
811bf820-3529-433a-9b6d-e624fa23a16a,A Google user,2,2025-06-07,I liked this app. But the User interface is very basic and not attractive at all.,CBE,Google Play,Negative,0.9996840953826904,"['like', 'app', 'user', 'interface', 'basic', 'attractive']","['basic', 'app user', 'attractive', 'user interface', 'interface']",User Interface & Experience
be2cb2ac-bbe0-4175-81c4-9f6c86afdaaa,A Google user,4,2025-06-06,"""Why don’t your ATMs support account-to-account transfers like other countries( Kenya, Nigeria , South africa)""",CBE,Google Play,Negative,0.9964652061462402,"['atms', 'support', 'accounttoaccount', 'transfer', 'like', 'country', 'kenya', 'nigeria', 'south', 'africa']","['africa', 'support', 'country', 'transfer', 'like']","Transaction Performance, Customer Support"
8efd71e9-59cd-41ce-8c5c-12052dee9ad0,A Google user,1,2025-06-05,what is this app problem???,CBE,Google Play,Negative,0.9996225833892822,"['app', 'problem']","['app problem', 'problem', 'app', 'accessible', 'access app']",Other/General Feedback
b12d0383-9b27-4e49-a94d-277a43b15800,A Google user,5,2025-06-05,the app is proactive and a good connections.,CBE,Google Play,Positive,0.9998679161071777,"['app', 'proactive', 'good', 'connection']","['connection', 'good', 'app', 'access app', 'access account']",Other/General Feedback
dd9f9e37-177a-46df-b877-d0edaa9aed29,A Google user,3,2025-06-05,I cannot send to cbebirr app. through this app.,CBE,Google Play,Negative,0.9953354001045227,"['send', 'cbebirr', 'app', 'app']","['cbebirr', 'app app', 'send', 'app', 'access app']",Other/General Feedback
8e34703c-203c-4180-8b32-bfd0b3f0c871,A Google user,4,2025-06-05,good,CBE,Google Play,Positive,0.9998161196708679,['good'],"['good', 'account', 'accessible', 'access app', 'access account']",Other/General Feedback
6f0c7fa2-3ce1-4310-b135-54fe0cb9fccd,A Google user,1,2025-06-05,not functional,CBE,Google Play,Negative,0.999778687953949,['functional'],"['functional', 'account', 'accessible', 'access app', 'access account']",Other/General Feedback
f0dd744a-9409-4619-9800-7ea501571b09,A Google user,1,2025-06-04,"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).",CBE,Google Play,Negative,0.9905162453651428,"['everytime', 'uninstall', 'app', 'reach', 'physically', 'oldy', 'one', 'security', 'layer', 'check', 'fraud', 'attempt', 'via', 'app', 'source', 'directlysource', 'app', 'store', 'play', 'store', 'etc', 'implicitly', 'physical', 'presence', 'every', 'app', 'install', 'traditionaltraditionally', 'rare']","['store', 'app', 'physically', 'physical', 'play store']",Other/General Feedback
3949d8e0-7ac4-4b43-b4f4-a45d6a888a85,A Google user,4,2025-06-04,አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,CBE,Google Play,Negative,0.9616847634315491,"['አካውንት', 'የምናስገባበት', 'ቦታ', 'ስም', 'ጽፈን', 'ነው', 'ከዚህ', 'በፊት', 'የላክንባቸውን', 'አካዉንቶች', 'የምንፈልገዉ', 'ነገር', 'ግን', 'አዲስ', 'አካውንቶች', 'mr', 'ብለዉ', 'የሚጀምሩ', 'በዝተዋል', 'ግን', 'አፕልኬሽኑ', 'space', 'ስንጽፍ', 'አይቀበልም', 'ቢስተካከል']","['ግን', 'space', 'ከዚህ', 'ቦታ', 'አካውንት']",Other/General Feedback
